psetID,taskID,taskName,student,timestamp
ps01,task1,debugNumsFixed,s000,20190204-161323
ps01,task1,debugNumsFixed,s000,20190204-161347
ps01,task1,debugNumsFixed,s000,20190204-180039
ps01,task1,debugNumsFixed,s000,20190205-205818
ps01,task1,debugNumsFixed,s000,20190205-210937
ps01,task1,debugNumsFixed,s000,20190205-211411
ps01,task1,debugNumsFixed,s000,20190205-213604
ps01,task1,debugNumsFixed,s000,20190205-223620
ps01,task1,debugNumsFixed,s000,20190205-224307
ps01,task1,debugNumsFixed,s000,20190205-224527
ps01,task1,debugNumsFixed,s001,20190204-142428
ps01,task1,debugNumsFixed,s001,20190204-143432
ps01,task1,debugNumsFixed,s001,20190204-144210
ps01,task1,debugNumsFixed,s001,20190204-145348
ps01,task1,debugNumsFixed,s001,20190204-145455
ps01,task1,debugNumsFixed,s001,20190204-145727
ps01,task1,debugNumsFixed,s001,20190204-145831
ps01,task1,debugNumsFixed,s001,20190204-150001
ps01,task1,debugNumsFixed,s001,20190204-150110
ps01,task1,debugNumsFixed,s001,20190204-150242
ps01,task1,debugNumsFixed,s001,20190204-150349
ps01,task1,debugNumsFixed,s001,20190204-150610
ps01,task1,debugNumsFixed,s001,20190204-152433
ps01,task1,debugNumsFixed,s001,20190204-152710
ps01,task1,debugNumsFixed,s001,20190204-170012
ps01,task1,debugNumsFixed,s001,20190204-170527
ps01,task1,debugNumsFixed,s002,20190204-160540
ps01,task1,debugNumsFixed,s002,20190204-161043
ps01,task1,debugNumsFixed,s002,20190204-161121
ps01,task1,debugNumsFixed,s002,20190204-161908
ps01,task1,debugNumsFixed,s002,20190204-163018
ps01,task1,debugNumsFixed,s002,20190204-163244
ps01,task1,debugNumsFixed,s002,20190204-163328
ps01,task1,debugNumsFixed,s002,20190204-164240
ps01,task1,debugNumsFixed,s002,20190204-164410
ps01,task1,debugNumsFixed,s002,20190204-165419
ps01,task1,debugNumsFixed,s002,20190204-184034
ps01,task1,debugNumsFixed,s002,20190204-184329
ps01,task1,debugNumsFixed,s002,20190204-185109
ps01,task1,debugNumsFixed,s002,20190204-185537
ps01,task1,debugNumsFixed,s002,20190205-204423
ps01,task1,debugNumsFixed,s003,20190204-225520
ps01,task1,debugNumsFixed,s003,20190205-134552
ps01,task1,debugNumsFixed,s003,20190205-134919
ps01,task1,debugNumsFixed,s003,20190205-163744
ps01,task1,debugNumsFixed,s003,20190205-221200
ps01,task1,debugNumsFixed,s003,20190205-221209
ps01,task1,debugNumsFixed,s004,20190205-222808
ps01,task1,debugNumsFixed,s004,20190211-203052
ps01,task1,debugNumsFixed,s005,20190204-135231
ps01,task1,debugNumsFixed,s005,20190204-135529
ps01,task1,debugNumsFixed,s005,20190204-135817
ps01,task1,debugNumsFixed,s005,20190204-140151
ps01,task1,debugNumsFixed,s005,20190204-140854
ps01,task1,debugNumsFixed,s005,20190204-142747
ps01,task1,debugNumsFixed,s006,20190204-151309
ps01,task1,debugNumsFixed,s006,20190204-153241
ps01,task1,debugNumsFixed,s006,20190204-211532
ps01,task1,debugNumsFixed,s006,20190205-192000
ps01,task1,debugNumsFixed,s006,20190205-222707
ps01,task1,debugNumsFixed,s006,20190205-224518
ps01,task1,debugNumsFixed,s007,20190205-142500
ps01,task1,debugNumsFixed,s007,20190205-143013
ps01,task1,debugNumsFixed,s007,20190205-161945
ps01,task1,debugNumsFixed,s007,20190205-162124
ps01,task1,debugNumsFixed,s007,20190205-165120
ps01,task1,debugNumsFixed,s007,20190205-165930
ps01,task1,debugNumsFixed,s008,20190204-144830
ps01,task1,debugNumsFixed,s008,20190204-153535
ps01,task1,debugNumsFixed,s008,20190204-154209
ps01,task1,debugNumsFixed,s008,20190204-154733
ps01,task1,debugNumsFixed,s008,20190204-162828
ps01,task1,debugNumsFixed,s008,20190204-164149
ps01,task1,debugNumsFixed,s009,20190205-142502
ps01,task1,debugNumsFixed,s009,20190205-142816
ps01,task1,debugNumsFixed,s009,20190205-142925
ps01,task1,debugNumsFixed,s010,20190204-205354
ps01,task1,debugNumsFixed,s010,20190205-134007
ps01,task1,debugNumsFixed,s010,20190205-134530
ps01,task1,debugNumsFixed,s010,20190205-134842
ps01,task1,debugNumsFixed,s011,20190205-183306
ps01,task1,debugNumsFixed,s011,20190205-192828
ps01,task1,debugNumsFixed,s011,20190205-193502
ps01,task1,debugNumsFixed,s011,20190205-193625
ps01,task1,debugNumsFixed,s012,20190204-235207
ps01,task1,debugNumsFixed,s013,20190131-002014
ps01,task1,debugNumsFixed,s013,20190131-002047
ps01,task1,debugNumsFixed,s013,20190204-204536
ps01,task1,debugNumsFixed,s013,20190204-205426
ps01,task1,debugNumsFixed,s013,20190204-205611
ps01,task1,debugNumsFixed,s013,20190204-205703
ps01,task1,debugNumsFixed,s014,20190205-001256
ps01,task1,debugNumsFixed,s014,20190205-001421
ps01,task1,debugNumsFixed,s014,20190205-001608
ps01,task1,debugNumsFixed,s014,20190205-001616
ps01,task1,debugNumsFixed,s014,20190205-001725
ps01,task1,debugNumsFixed,s014,20190205-015355
ps01,task1,debugNumsFixed,s014,20190205-015421
ps01,task1,debugNumsFixed,s014,20190205-131010
ps01,task1,debugNumsFixed,s014,20190205-151251
ps01,task1,debugNumsFixed,s014,20190205-173118
ps01,task1,debugNumsFixed,s014,20190205-191304
ps01,task1,debugNumsFixed,s014,20190205-191539
ps01,task1,debugNumsFixed,s014,20190205-193144
ps01,task1,debugNumsFixed,s014,20190205-193341
ps01,task1,debugNumsFixed,s014,20190205-201817
ps01,task1,debugNumsFixed,s014,20190205-223142
ps01,task1,debugNumsFixed,s014,20190205-235539
ps01,task1,debugNumsFixed,s015,20190205-095520
ps01,task1,debugNumsFixed,s015,20190205-171717
ps01,task1,debugNumsFixed,s015,20190205-173814
ps01,task1,debugNumsFixed,s015,20190205-175240
ps01,task1,debugNumsFixed,s016,20190131-134249
ps01,task1,debugNumsFixed,s016,20190131-134730
ps01,task1,debugNumsFixed,s016,20190204-202029
ps01,task1,debugNumsFixed,s016,20190204-205327
ps01,task1,debugNumsFixed,s016,20190205-133741
ps01,task1,debugNumsFixed,s016,20190205-140418
ps01,task1,debugNumsFixed,s016,20190205-152242
ps01,task1,debugNumsFixed,s016,20190205-215204
ps01,task1,debugNumsFixed,s017,20190205-022002
ps01,task1,debugNumsFixed,s017,20190205-115621
ps01,task1,debugNumsFixed,s017,20190205-191741
ps01,task1,debugNumsFixed,s017,20190205-191745
ps01,task1,debugNumsFixed,s017,20190205-221409
ps01,task1,debugNumsFixed,s017,20190205-222643
ps01,task1,debugNumsFixed,s017,20190205-223252
ps01,task1,debugNumsFixed,s017,20190205-223729
ps01,task1,debugNumsFixed,s017,20190205-224103
ps01,task1,debugNumsFixed,s017,20190205-224228
ps01,task1,debugNumsFixed,s017,20190205-224520
ps01,task1,debugNumsFixed,s017,20190205-224805
ps01,task1,debugNumsFixed,s017,20190205-224940
ps01,task1,debugNumsFixed,s018,20190204-151449
ps01,task1,debugNumsFixed,s018,20190204-152501
ps01,task1,debugNumsFixed,s018,20190204-152807
ps01,task1,debugNumsFixed,s018,20190204-152950
ps01,task1,debugNumsFixed,s018,20190204-153757
ps01,task1,debugNumsFixed,s018,20190204-190604
ps01,task1,debugNumsFixed,s019,20190204-212142
ps01,task1,debugNumsFixed,s019,20190204-215653
ps01,task1,debugNumsFixed,s019,20190214-122833
ps01,task1,debugNumsFixed,s020,20190204-161043
ps01,task1,debugNumsFixed,s020,20190204-161123
ps01,task1,debugNumsFixed,s020,20190204-161510
ps01,task1,debugNumsFixed,s020,20190205-215419
ps01,task1,debugNumsFixed,s021,20190204-160252
ps01,task1,debugNumsFixed,s021,20190204-165744
ps01,task1,debugNumsFixed,s021,20190204-173955
ps01,task1,debugNumsFixed,s021,20190204-174330
ps01,task1,debugNumsFixed,s022,20190204-161137
ps01,task1,debugNumsFixed,s022,20190204-161706
ps01,task1,debugNumsFixed,s022,20190204-162045
ps01,task1,debugNumsFixed,s022,20190204-162405
ps01,task1,debugNumsFixed,s022,20190204-171059
ps01,task1,debugNumsFixed,s022,20190205-125950
ps01,task1,debugNumsFixed,s023,20190205-223551
ps01,task1,debugNumsFixed,s023,20190205-224323
ps01,task1,debugNumsFixed,s023,20190205-232123
ps01,task1,debugNumsFixed,s023,20190205-233514
ps01,task1,debugNumsFixed,s024,20190204-154914
ps01,task1,debugNumsFixed,s024,20190204-154921
ps01,task1,debugNumsFixed,s024,20190204-194737
ps01,task1,debugNumsFixed,s024,20190204-221700
ps01,task1,debugNumsFixed,s024,20190204-221910
ps01,task1,debugNumsFixed,s024,20190204-222142
ps01,task1,debugNumsFixed,s024,20190204-222726
ps01,task1,debugNumsFixed,s025,20190205-160110
ps01,task1,debugNumsFixed,s025,20190205-160221
ps01,task1,debugNumsFixed,s025,20190205-160552
ps01,task1,debugNumsFixed,s025,20190205-162030
ps01,task1,debugNumsFixed,s025,20190205-163056
ps01,task1,debugNumsFixed,s025,20190205-172115
ps01,task1,debugNumsFixed,s026,20190206-152456
ps01,task1,debugNumsFixed,s028,20190205-090405
ps01,task1,debugNumsFixed,s028,20190205-220036
ps01,task1,debugNumsFixed,s028,20190205-220059
ps01,task1,debugNumsFixed,s028,20190205-220446
ps01,task1,debugNumsFixed,s028,20190205-220538
ps01,task1,debugNumsFixed,s029,20190205-182510
ps01,task1,debugNumsFixed,s029,20190205-190314
ps01,task1,debugNumsFixed,s029,20190205-190639
ps01,task1,debugNumsFixed,s029,20190205-191030
ps01,task1,debugNumsFixed,s029,20190205-191235
ps01,task1,debugNumsFixed,s029,20190205-191508
ps01,task1,debugNumsFixed,s029,20190205-191812
ps01,task1,debugNumsFixed,s030,20190204-233225
ps01,task1,debugNumsFixed,s030,20190204-233342
ps01,task1,debugNumsFixed,s030,20190204-234450
ps01,task1,debugNumsFixed,s030,20190204-234641
ps01,task1,debugNumsFixed,s033,20190204-163642
ps01,task1,debugNumsFixed,s033,20190204-163935
ps01,task1,debugNumsFixed,s033,20190204-164127
ps01,task1,debugNumsFixed,s033,20190204-164221
ps01,task1,debugNumsFixed,s033,20190204-164617
ps01,task1,debugNumsFixed,s033,20190205-185212
ps01,task1,debugNumsFixed,s033,20190205-185953
ps01,task1,debugNumsFixed,s034,20190205-133132
ps01,task1,debugNumsFixed,s034,20190205-133559
ps01,task1,debugNumsFixed,s034,20190205-133637
ps01,task1,debugNumsFixed,s034,20190205-135732
ps01,task1,debugNumsFixed,s034,20190205-140217
ps01,task1,debugNumsFixed,s034,20190205-140917
ps01,task1,debugNumsFixed,s035,20190131-132323
ps01,task1,debugNumsFixed,s035,20190131-132408
ps01,task1,debugNumsFixed,s035,20190205-092910
ps01,task1,debugNumsFixed,s035,20190205-094300
ps01,task1,debugNumsFixed,s035,20190205-114239
ps01,task1,debugNumsFixed,s035,20190205-114240
ps01,task1,debugNumsFixed,s035,20190205-151800
ps01,task1,debugNumsFixed,s035,20190205-152033
ps01,task1,debugNumsFixed,s036,20190204-230727
ps01,task1,debugNumsFixed,s036,20190204-231913
ps01,task1,debugNumsFixed,s036,20190205-002525
ps01,task1,debugNumsFixed,s036,20190205-002833
ps01,task1,debugNumsFixed,s036,20190205-133550
ps01,task1,debugNumsFixed,s037,20190205-192412
ps01,task1,debugNumsFixed,s037,20190205-192720
ps01,task1,debugNumsFixed,s037,20190205-193105
ps01,task1,debugNumsFixed,s037,20190205-193401
ps01,task1,debugNumsFixed,s037,20190205-193921
ps01,task1,debugNumsFixed,s037,20190205-222343
ps01,task1,debugNumsFixed,s038,20190205-104555
ps01,task1,debugNumsFixed,s038,20190205-105158
ps01,task1,debugNumsFixed,s038,20190205-183121
ps01,task1,debugNumsFixed,s038,20190205-184359
ps01,task1,debugNumsFixed,s039,20190204-184546
ps01,task1,debugNumsFixed,s039,20190204-185057
ps01,task1,debugNumsFixed,s039,20190204-190025
ps01,task1,debugNumsFixed,s039,20190205-175721
ps01,task1,debugNumsFixed,s039,20190205-180307
ps01,task1,debugNumsFixed,s039,20190205-180315
ps01,task1,debugNumsFixed,s039,20190205-180403
ps01,task1,debugNumsFixed,s040,20190205-183700
ps01,task1,debugNumsFixed,s041,20190204-145803
ps01,task1,debugNumsFixed,s041,20190204-153500
ps01,task1,debugNumsFixed,s041,20190204-153655
ps01,task1,debugNumsFixed,s041,20190204-153736
ps01,task1,debugNumsFixed,s041,20190204-154040
ps01,task1,debugNumsFixed,s041,20190204-154146
ps01,task1,debugNumsFixed,s041,20190204-154629
ps01,task1,debugNumsFixed,s041,20190204-154630
ps01,task1,debugNumsFixed,s041,20190205-152507
ps01,task1,debugNumsFixed,s041,20190205-152705
ps01,task1,debugNumsFixed,s041,20190205-152808
ps01,task1,debugNumsFixed,s041,20190205-181144
ps01,task1,debugNumsFixed,s041,20190205-181240
ps01,task1,debugNumsFixed,s042,20190205-173420
ps01,task1,debugNumsFixed,s042,20190205-182422
ps01,task1,debugNumsFixed,s042,20190205-194315
ps01,task1,debugNumsFixed,s042,20190205-231200
ps01,task1,debugNumsFixed,s043,20190204-165827
ps01,task1,debugNumsFixed,s043,20190204-171543
ps01,task1,debugNumsFixed,s044,20190131-170143
ps01,task1,debugNumsFixed,s044,20190131-170219
ps01,task1,debugNumsFixed,s044,20190131-173727
ps01,task1,debugNumsFixed,s044,20190204-164532
ps01,task1,debugNumsFixed,s044,20190204-164936
ps01,task1,debugNumsFixed,s044,20190204-165349
ps01,task1,debugNumsFixed,s044,20190204-165427
ps01,task1,debugNumsFixed,s045,20190204-175217
ps01,task1,debugNumsFixed,s045,20190204-194502
ps01,task1,debugNumsFixed,s045,20190204-194946
ps01,task1,debugNumsFixed,s045,20190204-195307
ps01,task1,debugNumsFixed,s045,20190204-214708
ps01,task1,debugNumsFixed,s045,20190204-231019
ps01,task1,debugNumsFixed,s046,20190205-012808
ps01,task1,debugNumsFixed,s046,20190205-224602
ps01,task1,debugNumsFixed,s047,20190204-153613
ps01,task1,debugNumsFixed,s047,20190204-153645
ps01,task1,debugNumsFixed,s047,20190205-125623
ps01,task1,debugNumsFixed,s047,20190205-140050
ps01,task1,debugNumsFixed,s047,20190205-140113
ps01,task1,debugNumsFixed,s047,20190205-140931
ps01,task1,debugNumsFixed,s047,20190205-141044
ps01,task1,debugNumsFixed,s047,20190205-141412
ps01,task1,debugNumsFixed,s047,20190205-144108
ps01,task1,debugNumsFixed,s047,20190205-144223
ps01,task1,debugNumsFixed,s047,20190205-144913
ps01,task1,debugNumsFixed,s047,20190205-145432
ps01,task1,debugNumsFixed,s047,20190205-145733
ps01,task1,debugNumsFixed,s048,20190204-201817
ps01,task1,debugNumsFixed,s049,20190204-144939
ps01,task1,debugNumsFixed,s049,20190204-150223
ps01,task1,debugNumsFixed,s049,20190204-152027
ps01,task1,debugNumsFixed,s049,20190204-152400
ps01,task1,debugNumsFixed,s049,20190204-152408
ps01,task1,debugNumsFixed,s050,20190204-150120
ps01,task1,debugNumsFixed,s050,20190204-151020
ps01,task1,debugNumsFixed,s050,20190204-151506
ps01,task1,debugNumsFixed,s050,20190204-190753
ps01,task1,debugNumsFixed,s050,20190204-191854
ps01,task1,debugNumsFixed,s050,20190204-192020
ps01,task1,debugNumsFixed,s050,20190204-192407
