title,url,source,time,query,position,moment
"Transcript: Sen. Amy Klobuchar on ""Face the Nation,"" December 16, 2018",https://www.cbsnews.com/news/transcript-sen-amy-klobuchar-on-face-the-nation-december-16-2018/,CBS News,6 hours ago,Amy Klobuchar,4,2018-12-16 18:00:00
Congress passes bill to curb sexual harassment on Capitol Hill,https://www.politico.com/story/2018/12/13/senate-passes-harassment-legislation-1062299,Politico,3 days ago,Amy Klobuchar,9,2018-12-16 18:00:00
Amy Klobuchar Is ‘Minnesota Nice.’ But Is That What Democrats Want for 2020?,https://www.nytimes.com/2018/11/26/us/politics/amy-klobuchar-2020-election.html,The New York Times,3 weeks ago,Amy Klobuchar,10,2018-12-16 18:00:00
"Sen. Klobuchar Considers 2020 Run, Says Dem Nominee Needs to Appeal to 
'Left Behind Voters' in Midwest",https://townhall.com/tipsheet/laurettabrown/2018/12/14/sen-klobuchar-considers-2020-run-says-dem-nominee-needs-to-appeal-to-left-behind-voters-in-midwest-n2537528,Townhall,2 days ago,Amy Klobuchar,7,2018-12-16 18:00:00
Klobuchar: Dem nominee in 2020 needs understanding of 'left behind' voters,https://www.politico.com/story/2018/12/14/klobuchar-dem-nominee-2020-left-behind-voters-1065225,Politico,2 days ago,Amy Klobuchar,8,2018-12-16 18:00:00
Klobuchar calls ObamaCare ruling 'absurd' | TheHill,https://thehill.com/homenews/sunday-talk-shows/421590-klobuchar-calls-ruling-against-obamacare-absurd,The Hill,6 hours ago,Amy Klobuchar,5,2018-12-16 18:00:00
Sen. Klobuchar on bipartisan accomplishment combating sexual harassment,https://www.msnbc.com/andrea-mitchell-reports/watch/sen-klobuchar-on-bipartisan-accomplishment-combating-sexual-harassment-1398139459997,MSNBC.com,2 days ago,Amy Klobuchar,2,2018-12-16 18:00:00
"Klobuchar: 'Of course we're willing to work with' Republicans to avoid 
shutdown | TheHill",https://thehill.com/homenews/sunday-talk-shows/421595-klobuchar-of-course-were-willing-to-work-with-republicans-to-avoid,The Hill,12 hours ago,Amy Klobuchar,1,2018-12-17 00:00:00
"Sen. Klobuchar Considers 2020 Run, Says Dem Nominee Needs to Appeal to 
'Left Behind Voters' in Midwest",https://townhall.com/tipsheet/laurettabrown/2018/12/14/sen-klobuchar-considers-2020-run-says-dem-nominee-needs-to-appeal-to-left-behind-voters-in-midwest-n2537528,Townhall,2 days ago,Amy Klobuchar,8,2018-12-17 00:00:00
Sen. Klobuchar on bipartisan accomplishment combating sexual harassment,https://www.msnbc.com/andrea-mitchell-reports/watch/sen-klobuchar-on-bipartisan-accomplishment-combating-sexual-harassment-1398139459997,MSNBC.com,2 days ago,Amy Klobuchar,10,2018-12-17 00:00:00
"Amy Klobuchar on ""Face the Nation"": ""Absurd"" Obamacare ruling would set 
health care ""on fire""",https://www.cbsnews.com/news/amy-klobuchar-on-face-the-nation-absurd-obamacare-ruling-would-set-health-care-on-fire/,CBS News,11 hours ago,Amy Klobuchar,2,2018-12-17 00:00:00
"Sunday: Miller, Klobuchar, Barrasso, Davis, Potter",https://www.cbsnews.com/news/sunday-miller-klobuchar-davis-potter/,CBS News,2 days ago,Amy Klobuchar,7,2018-12-17 00:00:00
Klobuchar calls ObamaCare ruling 'absurd' | TheHill,https://thehill.com/homenews/sunday-talk-shows/421590-klobuchar-calls-ruling-against-obamacare-absurd,The Hill,12 hours ago,Amy Klobuchar,6,2018-12-17 00:00:00
"Klobuchar in Response to Judge Striking Down Obamacare: ‘We Need Universal 
Health Care’",https://freebeacon.com/issues/klobuchar-need-universal-health-care/,Washington Free Beacon,4 hours ago,Amy Klobuchar,3,2018-12-17 00:00:00
"Transcript: Sen. Amy Klobuchar on ""Face the Nation,"" December 16, 2018",https://www.cbsnews.com/news/transcript-sen-amy-klobuchar-on-face-the-nation-december-16-2018/,CBS News,12 hours ago,Amy Klobuchar,5,2018-12-17 00:00:00
Klobuchar criticizes court decision on Affordable Care Act,https://www.mprnews.org/story/2018/12/16/klobuchar-criticizes-court-decision-affordable-care-act,MPR News,8 hours ago,Amy Klobuchar,4,2018-12-17 00:00:00
Klobuchar: Dem nominee in 2020 needs understanding of 'left behind' voters,https://www.politico.com/story/2018/12/14/klobuchar-dem-nominee-2020-left-behind-voters-1065225,Politico,2 days ago,Amy Klobuchar,9,2018-12-17 00:00:00
Klobuchar calls ObamaCare ruling 'absurd' | TheHill,https://thehill.com/homenews/sunday-talk-shows/421590-klobuchar-calls-ruling-against-obamacare-absurd,TheHill,18 hours ago,Amy Klobuchar,6,2018-12-17 06:00:00
"Klobuchar: 'Of course we're willing to work with' Republicans to avoid 
shutdown | TheHill",https://thehill.com/homenews/sunday-talk-shows/421595-klobuchar-of-course-were-willing-to-work-with-republicans-to-avoid,The Hill,18 hours ago,Amy Klobuchar,1,2018-12-17 06:00:00
Sen. Amy Klobuchar Calls Texas Affordable Care Act Ruling ‘Absurd’,https://minnesota.cbslocal.com/2018/12/16/klobuchar-affordable-care-act-ruling/,WCCO | CBS Minnesota,7 hours ago,Amy Klobuchar,3,2018-12-17 06:00:00
"Transcript: Sen. Amy Klobuchar on ""Face the Nation,"" December 16, 2018",https://www.cbsnews.com/news/transcript-sen-amy-klobuchar-on-face-the-nation-december-16-2018/,CBS News,18 hours ago,Amy Klobuchar,5,2018-12-17 06:00:00
"Amy Klobuchar on ""Face the Nation"": ""Absurd"" Obamacare ruling would set 
health care ""on fire""",https://www.cbsnews.com/news/amy-klobuchar-on-face-the-nation-absurd-obamacare-ruling-would-set-health-care-on-fire/,CBS News,17 hours ago,Amy Klobuchar,2,2018-12-17 06:00:00
Klobuchar: Dem nominee in 2020 needs understanding of 'left behind' voters,https://www.politico.com/story/2018/12/14/klobuchar-dem-nominee-2020-left-behind-voters-1065225,Politico,2 days ago,Amy Klobuchar,8,2018-12-17 06:00:00
Congress passes bill to curb sexual harassment on Capitol Hill,https://www.politico.com/story/2018/12/13/senate-passes-harassment-legislation-1062299,Politico,3 days ago,Amy Klobuchar,10,2018-12-17 06:00:00
"Sen. Klobuchar Considers 2020 Run, Says Dem Nominee Needs to Appeal to 
'Left Behind Voters' in Midwest",https://townhall.com/tipsheet/laurettabrown/2018/12/14/sen-klobuchar-considers-2020-run-says-dem-nominee-needs-to-appeal-to-left-behind-voters-in-midwest-n2537528,Townhall,2 days ago,Amy Klobuchar,7,2018-12-17 06:00:00
Sen. Klobuchar on bipartisan accomplishment combating sexual harassment,https://www.msnbc.com/andrea-mitchell-reports/watch/sen-klobuchar-on-bipartisan-accomplishment-combating-sexual-harassment-1398139459997,MSNBC.com,2 days ago,Amy Klobuchar,9,2018-12-17 06:00:00
Klobuchar criticizes court decision on Affordable Care Act,https://www.mprnews.org/story/2018/12/16/klobuchar-criticizes-court-decision-affordable-care-act,MPR News,14 hours ago,Amy Klobuchar,4,2018-12-17 06:00:00
Congress passes bill to curb sexual harassment on Capitol Hill,https://www.politico.com/story/2018/12/13/senate-passes-harassment-legislation-1062299,Politico,4 days ago,Amy Klobuchar,10,2018-12-17 12:00:00
"Sen. Klobuchar Considers 2020 Run, Says Dem Nominee Needs to Appeal to 
'Left Behind Voters' in Midwest",https://townhall.com/tipsheet/laurettabrown/2018/12/14/sen-klobuchar-considers-2020-run-says-dem-nominee-needs-to-appeal-to-left-behind-voters-in-midwest-n2537528,Townhall,2 days ago,Amy Klobuchar,8,2018-12-17 12:00:00
Klobuchar: Dem nominee in 2020 needs understanding of 'left behind' voters,https://www.politico.com/story/2018/12/14/klobuchar-dem-nominee-2020-left-behind-voters-1065225,Politico,2 days ago,Amy Klobuchar,9,2018-12-17 12:00:00
Klobuchar calls ObamaCare ruling 'absurd' | TheHill,https://thehill.com/homenews/sunday-talk-shows/421590-klobuchar-calls-ruling-against-obamacare-absurd,TheHill,1 day ago,Amy Klobuchar,6,2018-12-17 12:00:00
Sen. Amy Klobuchar Calls Texas Affordable Care Act Ruling ‘Absurd’,https://minnesota.cbslocal.com/2018/12/16/klobuchar-affordable-care-act-ruling/,WCCO,13 hours ago,Amy Klobuchar,3,2018-12-17 12:00:00
"Amy Klobuchar on ""Face the Nation"": ""Absurd"" Obamacare ruling would set 
health care ""on fire""",https://www.cbsnews.com/news/amy-klobuchar-on-face-the-nation-absurd-obamacare-ruling-would-set-health-care-on-fire/,CBS News,23 hours ago,Amy Klobuchar,2,2018-12-17 12:00:00
Could an Amy Klobuchar Solve Democrats’ Dilemma?,https://www.wsj.com/articles/could-an-amy-klobuchar-solve-democrats-dilemma-11545056133,The Wall Street Journal,3 hours ago,Amy Klobuchar,1,2018-12-17 12:00:00
Klobuchar criticizes court decision on Affordable Care Act,https://www.mprnews.org/story/2018/12/16/klobuchar-criticizes-court-decision-affordable-care-act,MPR News,20 hours ago,Amy Klobuchar,4,2018-12-17 12:00:00
"Klobuchar: 'Of course we're willing to work with' Republicans to avoid 
shutdown | TheHill",https://thehill.com/homenews/sunday-talk-shows/421595-klobuchar-of-course-were-willing-to-work-with-republicans-to-avoid,TheHill,1 day ago,Amy Klobuchar,5,2018-12-17 12:00:00
"Sunday: Miller, Klobuchar, Barrasso, Davis, Potter",https://www.cbsnews.com/news/sunday-miller-klobuchar-davis-potter/,CBS News,2 days ago,Amy Klobuchar,7,2018-12-17 12:00:00
"Amy Klobuchar on ""Face the Nation"": ""Absurd"" Obamacare ruling would set 
health care ""on fire""",https://www.cbsnews.com/news/amy-klobuchar-on-face-the-nation-absurd-obamacare-ruling-would-set-health-care-on-fire/,CBS News,1 day ago,Amy Klobuchar,4,2018-12-17 18:00:00
Sen. Amy Klobuchar Calls Texas Affordable Care Act Ruling ‘Absurd’,https://minnesota.cbslocal.com/2018/12/16/klobuchar-affordable-care-act-ruling/,WCCO,19 hours ago,Amy Klobuchar,3,2018-12-17 18:00:00
Poll: Klobuchar rising in Iowa,https://www.politico.com/story/2018/12/17/poll-klobuchar-rising-in-iowa-1067256,Politico,3 hours ago,Amy Klobuchar,1,2018-12-17 18:00:00
"Sen. Klobuchar Considers 2020 Run, Says Dem Nominee Needs to Appeal to 
'Left Behind Voters' in Midwest",https://townhall.com/tipsheet/laurettabrown/2018/12/14/sen-klobuchar-considers-2020-run-says-dem-nominee-needs-to-appeal-to-left-behind-voters-in-midwest-n2537528,Townhall,3 days ago,Amy Klobuchar,8,2018-12-17 18:00:00
"Senator Amy Klobuchar, Running as a Democrat in the Age of Trump",https://www.newyorker.com/podcast/political-scene/senator-amy-klobuchar-running-as-a-democrat-in-the-age-of-trump,The New Yorker,3 days ago,Amy Klobuchar,9,2018-12-17 18:00:00
"Sunday: Miller, Klobuchar, Barrasso, Davis, Potter",https://www.cbsnews.com/news/sunday-miller-klobuchar-davis-potter/,CBS News,2 days ago,Amy Klobuchar,7,2018-12-17 18:00:00
Klobuchar calls ObamaCare ruling 'absurd' | TheHill,https://thehill.com/homenews/sunday-talk-shows/421590-klobuchar-calls-ruling-against-obamacare-absurd,TheHill,1 day ago,Amy Klobuchar,6,2018-12-17 18:00:00
