Rank,Name,Pct.,Rank,Num.,Pct.
120,Graham,0.07%,-12,"+7,085",+3.7%
121,Reynolds,0.07%,-15,"+4,649",+2.4%
122,Griffin,0.07%,-8,"+7,770",+4.1%
123,Wallace,0.07%,-10,"+6,516",+3.4%
124,Moreno,0.07%,+46,"+50,837",+34.8%
125,West,0.07%,-10,"+7,354",+3.9%
126,Cole,0.07%,-10,"+7,496",+4.0%
127,Hayes,0.07%,-10,"+6,773",+3.6%
128,Bryant,0.07%,-8,"+9,012",+4.9%
129,Herrera,0.07%,+46,"+51,925",+36.9%
130,Gibson,0.07%,-11,"+6,247",+3.4%
131,Ellis,0.06%,-10,"+7,034",+3.9%
132,Tran,0.06%,+56,"+52,403",+38.5%
133,Medina,0.06%,+43,"+49,144",+35.3%
134,Aguilar,0.06%,+79,"+60,113",+47.6%
135,Stevens,0.06%,-13,"+4,257",+2.3%
136,Murray,0.06%,-13,"+6,496",+3.6%
137,Ford,0.06%,-13,"+6,435",+3.6%
138,Castro,0.06%,+56,"+50,880",+38.2%
139,Marshall,0.06%,-14,"+6,709",+3.8%
140,Owens,0.06%,-14,"+6,385",+3.6%
141,Harrison,0.06%,-13,"+5,514",+3.1%
142,Fernandez,0.06%,+36,"+41,540",+29.8%
143,McDonald,0.06%,-16,"+4,403",+2.5%
144,Woods,0.06%,-11,"+8,611",+5.1%
145,Washington,0.06%,-7,"+14,350",+8.8%
146,Kennedy,0.06%,-16,"+5,229",+3.0%
147,Wells,0.06%,-16,"+5,595",+3.3%
148,Vargas,0.06%,+73,"+49,883",+40.2%
149,Henry,0.06%,-7,"+9,572",+5.9%
150,Chen,0.06%,+110,"+64,036",+60.7%
151,Freeman,0.06%,-11,"+6,463",+4.0%
152,Webb,0.06%,-15,"+5,397",+3.3%
153,Tucker,0.06%,-14,"+4,513",+2.8%
154,Guzman,0.06%,+76,"+48,654",+41.1%
155,Burns,0.06%,-14,"+3,772",+2.3%
156,Crawford,0.06%,-10,"+6,336",+4.0%
157,Olson,0.06%,-21,+533,+0.3%
158,Simpson,0.06%,-13,"+4,940",+3.1%
159,Porter,0.06%,-11,"+6,206",+4.0%
160,Hunter,0.06%,-7,"+8,030",+5.2%
161,Gordon,0.06%,-10,"+6,899",+4.5%
162,Mendez,0.06%,+80,"+48,981",+43.4%
163,Silva,0.06%,+51,"+35,469",+28.1%
164,Shaw,0.05%,-14,"+5,228",+3.4%
165,Snyder,0.05%,-21,+899,+0.6%
166,Mason,0.05%,-17,"+4,729",+3.0%
167,Dixon,0.05%,-11,"+7,465",+4.9%
168,Munoz,0.05%,+64,"+40,709",+34.6%
169,Hunt,0.05%,-12,"+6,435",+4.2%
170,Hicks,0.05%,-15,"+4,702",+3.1%
171,Holmes,0.05%,-10,"+6,614",+4.4%
